Step,Visualization,Key Finding,Dashboard Use,Business Decision Support,Dashboard Priority
9G,Retention Strength Score Distribution,"Retention Strength Score ranges from 0 to 100, with an average score of 57.63.",Retention score distribution panel,Understand overall retention strength quality across the customer base.,Medium
9H,Churn Rate by Retention Strength Tier,"Critical Retention Risk has the highest churn rate at 68.98%, while Very Strong Retention shows the strongest retention at 100.00%.",Retention tier churn warning chart,Prioritize critical and weak retention tiers for intervention.,High
9I,Engagement Status × Retention Strength Matrix,Engagement status combined with retention strength helps identify high-risk customer pockets that are not visible from engagement alone.,Engagement-risk matrix,Identify combinations of engagement and retention tier that need immediate action.,High
9J,Product Depth × Retention Strength Matrix,High Product Load combined with Critical Retention Risk shows the highest churn exposure within product-depth segments.,Product depth-risk matrix,Avoid assuming that more products always mean better retention.,High
9K,Customer Risk Segment Distribution,"At-Risk Premium is the largest customer risk segment, representing 34.52% of the customer base.",Risk segment distribution card/chart,Understand how the customer base is distributed across risk segments.,Medium
9L,Customer Risk Segment Churn Ranking,"High Product Load Risk has the highest churn rate at 79.67%, making it a priority monitoring segment.",Risk segment priority ranking,Rank customer risk segments based on churn exposure.,High
9M,Customer Risk Segment Mix Donut Chart,The customer risk mix shows that At-Risk Premium is the largest segment by customer volume.,Customer risk composition donut,Communicate customer risk composition in an executive-friendly way.,Medium
9N,High-Value Status × Engagement Churn,High Value Customer with Inactive Member shows the highest churn rate at 29.06%.,High-value disengagement risk monitor,Detect valuable customers whose engagement behavior increases churn risk.,High
9O,Salary-Balance Mismatch Churn Comparison,"No Salary-Balance Mismatch has the higher churn rate at 20.91%, but mismatch alone should not be treated as the only churn driver.",Salary-balance mismatch warning card,Evaluate whether financial commitment signals are actually predictive of churn.,Medium
9P,Credit Card Ownership Retention vs Churn Split,"Has Credit Card has the higher retention rate at 79.82%, but the difference between card and non-card customers is small.",Credit card stickiness comparison,Assess whether credit card ownership is a strong or weak stickiness signal.,Medium
9Q,Relationship Strength Tier Churn Trend,Churn decreases from Very Weak Relationship (50.38%) to Strong Relationship (11.07%).,Relationship strength trend chart,Use relationship strength as a core retention planning driver.,High
9R,Retention Strength vs Relationship Strength Scatter,The scatter plot shows a clear positive relationship between Relationship Strength Index and Retention Strength Score.,Customer-level retention strength exploration,Support drill-down exploration and customer-level segmentation.,High
